countryname,discontinuity_5_1,discontinuity_5_2,discontinuity_5_3,discontinuity_5_4,discontinuity_5_5,discontinuity_10_1,discontinuity_10_2,discontinuity_10_3,discontinuity_10_4,discontinuity_10_5,discontinuity_20_1,discontinuity_20_2,discontinuity_20_3,discontinuity_20_4,discontinuity_20_5
Armenia,.0148,.0121,.0187,.019099999,.0154,.0142,.0116,.018200001,.0186,.0149,.013,.0106,.0174,.0178,.0139
Benin,.2219,.1314,.16850001,.1497,.20919999,.19859999,.1109,.13699999,.1252,.17560001,.1621,.086099997,.099200003,.094599999,.12540001
Bolivia,.0601,.045000002,.039799999,.052200001,.034600001,.054299999,.037300002,.032699998,.045299999,.031800002,.0469,.0272,.023499999,.035300002,.0273
Brazil,.041099999,.1313,.1372,.12909999,.1276,.039999999,.073899999,.081200004,.071599998,.070500001,.037700001,.044300001,.056000002,.041700002,.041900001
Cambodia,.17659999,.084200002,.1079,.1382,.15629999,.138,.071000002,.0638,.090300001,.108,.1079,.050700001,.0374,.053100001,.063000001
Colombia,.064900003,.078500003,.086999997,.087399997,.094800003,.063199997,.067100003,.0748,.075099997,.082199998,.060699999,.057399999,.064000003,.064400002,.0713
Costa Rica,.0113,.0082999999,.0094999997,.0088999998,.0076000001,.0112,.0081000002,.0093999999,.0088,.0076000001,.0111,.0077999998,.0092000002,.0085000005,.0074999998
Dominican Republic,.041999999,.0294,.0317,.0319,.036600001,.0403,.028100001,.028999999,.0295,.033799998,.037900001,.0254,.024499999,.025699999,.0294
Ecuador,.042300001,.016100001,.032000002,.0372,.0385,.040600002,.015699999,.0295,.034699999,.035799999,.037900001,.015,.0254,.0307,.031399999
El Salvador,.0403,.023800001,.0286,.025699999,.035799999,.0403,.0229,.027100001,.024599999,.0339,.0403,.0211,.023800001,.022500001,.030300001
Ghana,.18529999,.1213,.1193,.1191,.146,.1825,.1074,.1014,.1016,.1259,.17739999,.0792,.068599999,.068599999,.086800002
Guatemala,.070100002,.048599999,.043299999,.051600002,.061500002,.069300003,.043499999,.038899999,.0473,.056200001,.068099998,.0361,.032600001,.0407,.048300002
Haiti,.19760001,.074199997,.080700003,.084700003,.086999997,.14910001,.042199999,.0594,.052000001,.0502,.1174,.0403,.0515,.058699999,.048999999
Honduras,.1143,.074000001,.0394,.076300003,.091600001,.1011,.061299998,.034699999,.0603,.076200001,.082000002,.0469,.0283,.0394,.054000001
"Iran, Islamic Rep",.035700001,.0339,.039700001,.034000002,.025800001,.032099999,.030099999,.036699999,.030200001,.0252,.026799999,.0244,.032400001,.024900001,.0239
Lao PDR,.1393,.096299998,.0625,.093800001,.1244,.1257,.079999998,.054200001,.069899999,.1026,.1015,.056400001,.041099999,.044599999,.066600002
Lesotho,.075900003,.059999999,.027899999,.058699999,.068099998,.0515,.0359,.026000001,.035399999,.040399998,.0407,.023800001,.0222,.021500001,.025
Liberia,.16580001,.093800001,.098700002,.095299996,.1293,.1427,.066600002,.078400001,.063900001,.086999997,.1225,.037700001,.046500001,.036600001,.040800001
Mali,.33489999,.37099999,.35659999,.34,.45989999,.27329999,.30770001,.29750001,.2987,.4303,.2146,.2447,.2396,.2472,.40580001
Mexico,.018100001,.1147,.1176,.1136,.1124,.017899999,.069899999,.0735,.068499997,.067000002,.0173,.041299999,.046300001,.039700001,.038699999
Mozambique,.36449999,.2271,.23450001,.2419,.3114,.3258,.1803,.1917,.1823,.2403,.2676,.123,.1345,.12,.1503
Nepal,.093900003,.054499999,.072800003,.0678,.086599998,.088200003,.051100001,.064099997,.060600001,.078500003,.080300003,.045200001,.051600002,.050299998,.065300003
Nicaragua,.14669999,.0898,.085299999,.1099,.1304,.1427,.081799999,.075800002,.097800002,.1178,.13510001,.066299997,.058699999,.075599998,.092399999
Peru,.0889,.0517,.057700001,.0744,.070500001,.0858,.048700001,.052700002,.068499997,.064400002,.080399998,.043099999,.044199999,.057300001,.053199999
Rwanda,.39750001,.2362,.1833,.28600001,.19670001,.29629999,.114,.1155,.14480001,.1256,.2256,.047499999,.058800001,.047899999,.059999999
Senegal,.22050001,.115,.1218,.1681,.1596,.2042,.089299999,.0955,.1322,.1214,.17839999,.050500002,.0572,.078100003,.065899998
Sierra Leone,.2762,.1584,.1231,.17309999,.2031,.2383,.097099997,.091200002,.1012,.1235,.21089999,.043400001,.042599998,.037700001,.047499999
Sudan,.27720001,.1831,.20280001,.24529999,.2947,.23459999,.1523,.1636,.19310001,.26100001,.177,.1157,.1229,.1311,.2145
Tanzania,.17560001,.087800004,.1045,.1346,.1455,.1573,.068300001,.084600002,.1012,.1117,.1328,.043499999,.056299999,.056600001,.065399997
Togo,.2888,.17640001,.17120001,.1998,.22220001,.2771,.1468,.13950001,.15970001,.177,.25490001,.096199997,.088399999,.0977,.1043
"Venezuela, RB",.0294,.017999999,.0243,.0218,.025900001,.028999999,.0175,.023600001,.021199999,.0251,.0284,.0166,.022299999,.0199,.023600001
Zambia,.36289999,.18359999,.193,.2638,.2586,.32069999,.1229,.14229999,.1706,.1671,.26769999,.0548,.072300002,.068800002,.070100002
