adminregion,countryname,number,share
EAP,Cambodia,24,4.4036698
EAP,Laos,18,3.3027523
ECA,Armenia,11,2.0183487
LAC,Bolivia,9,1.6513761
LAC,Brazil,27,4.9541283
LAC,Colombia,29,5.3211007
LAC,Costa Rica,7,1.2844037
LAC,Dominican Republic,32,5.8715596
LAC,Ecuador,24,4.4036698
LAC,El Salvador,14,2.5688074
LAC,Guatemala,22,4.0366974
LAC,Haiti,10,1.8348624
LAC,Honduras,18,3.3027523
LAC,Mexico,32,5.8715596
LAC,Nicaragua,17,3.119266
LAC,Peru,25,4.5871558
LAC,Venezuela,24,4.4036698
MNA,Iran,30,5.5045872
SAS,Nepal,14,2.5688074
SSA,Benin,12,2.2018349
SSA,Ghana,10,1.8348624
SSA,Lesotho,10,1.8348624
SSA,Liberia,15,2.7522936
SSA,Mali,9,1.6513761
SSA,Mozambique,11,2.0183487
SSA,Rwanda,6,1.1009175
SSA,Senegal,11,2.0183487
SSA,Sierra Leone,14,2.5688074
SSA,Sudan,15,2.7522936
SSA,Tanzania,30,5.5045872
SSA,Togo,6,1.1009175
SSA,Zambia,9,1.6513761
